제목,가격,평점,재고여부,출처페이지,수집시각
Libertarianism for Beginners,51.33,Two,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.664657+00:00
It's Only the Himalayas,45.17,Two,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.665476+00:00
In Her Wake,12.84,One,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.920120+00:00
How Music Works,37.32,Two,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.920748+00:00
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.921230+00:00
Chase Me (Paris Nights #2),25.27,Five,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.921716+00:00
Black Dust,34.53,Five,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.922193+00:00
Birdsong: A Story in Pictures,54.64,Three,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.923066+00:00
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.923724+00:00
Aladdin and His Wonderful Lamp,53.13,Three,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.924325+00:00
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Five,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.924845+00:00
Wall and Piece,44.18,Four,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.925348+00:00
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.925871+00:00
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.926539+00:00
The Elephant Tree,23.82,Five,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.927234+00:00
The Bear and the Piano,36.89,One,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.928105+00:00
Sophie's World,15.94,Five,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.928663+00:00
Penny Maybe,33.29,Three,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.929216+00:00
Maude (1883-1993):She Grew Up with the country,18.02,Two,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.929737+00:00
"In a Dark, Dark Wood",19.63,One,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.930232+00:00
Behind Closed Doors,52.22,Four,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.930727+00:00
You can't bury them all: Poems,33.63,Two,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-09-19T10:23:09.931240+00:00
Slow States of Collapse: Poems,57.31,Three,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.980186+00:00
Reasons to Stay Alive,26.41,Two,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.980599+00:00
Private Paris (Private #10),47.61,Five,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.980985+00:00
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.981371+00:00
Without Borders (Wanderlove #1),45.07,Two,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.981717+00:00
When We Collided,31.77,One,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.982062+00:00
"We Love You, Charlie Freeman",50.27,Five,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.982421+00:00
Untitled Collection: Sabbath Poems 2014,14.27,Four,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.982841+00:00
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.983206+00:00
Unicorn Tracks,18.78,Three,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.983612+00:00
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.983960+00:00
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.984311+00:00
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.984665+00:00
This One Summer,19.49,Four,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.985040+00:00
Thirst,17.27,Five,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.985661+00:00
The Torch Is Passed: A Harding Family Story,19.09,One,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.986196+00:00
The Secret of Dreadwillow Carse,56.13,One,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.986570+00:00
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.986927+00:00
The Past Never Ends,56.5,Four,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.987281+00:00
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,In stock,https://books.toscrape.com/catalogue/page-3.html,2026-09-19T10:23:12.987790+00:00
The Nameless City (The Nameless City #1),38.16,Four,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.035075+00:00
The Murder That Never Was (Forensic Instincts #5),54.11,Three,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.035673+00:00
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.036168+00:00
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.036658+00:00
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.037145+00:00
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.037722+00:00
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.038759+00:00
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.039381+00:00
The Death of Humanity: and the Case for Life,58.11,Four,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.039926+00:00
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.040451+00:00
The Art Forger,40.76,Three,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.040962+00:00
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.041440+00:00
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.041957+00:00
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.042432+00:00
Soul Reader,39.58,Two,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.042941+00:00
Security,39.25,Two,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.043428+00:00
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.043947+00:00
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.044434+00:00
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.046122+00:00
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,In stock,https://books.toscrape.com/catalogue/page-4.html,2026-09-19T10:23:16.046742+00:00
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.260651+00:00
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.261131+00:00
"Pop Gun War, Volume 1: Gift",18.97,One,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.261520+00:00
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.261917+00:00
Patience,10.16,Three,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.263344+00:00
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.263846+00:00
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.264255+00:00
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.264635+00:00
On a Midnight Clear,14.07,Three,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.265035+00:00
Obsidian (Lux #1),14.86,Two,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.265412+00:00
My Paris Kitchen: Recipes and Stories,33.37,Two,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.265877+00:00
Masks and Shadows,56.4,Two,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.266260+00:00
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.266623+00:00
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.266991+00:00
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.267356+00:00
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.267748+00:00
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.268120+00:00
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.268961+00:00
Join,35.67,Five,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.269378+00:00
In the Country We Love: My Family Divided,22.0,Four,In stock,https://books.toscrape.com/catalogue/page-5.html,2026-09-19T10:23:19.269752+00:00
